# SMA Pointing Sources
# from http://sma1.sma.hawaii.edu/callist/callist.html
# 2024-01-15
#commonName,name,ra,dec,freq,date,obs,flux
--,0149+059,01:49:22.3708,+05:55:53.568,"['1mm', '850µm']","['22 Aug 2023', '09 Jun 2022']","['SMA', 'SMA']","['0.09 ±  0.02', '0.11 ±  0.01']"
--,0149+189,01:49:49.7189,+18:57:20.610,"['1mm', '850µm']","['22 Aug 2023', '16 Oct 2021']","['SMA', 'SMA']","['0.10 ±  0.01', '0.09 ±  0.03']"
--,0152+221,01:52:18.0590,+22:07:07.700,"['1mm', '850µm']","['22 Aug 2023', '07 Jun 2022']","['SMA', 'SMA']","['0.16 ±  0.02', '0.16 ±  0.02']"
--,0204+152,02:04:50.4139,+15:14:11.043,"['1mm', '850µm']","['22 Aug 2023', '09 Jun 2022']","['SMA', 'SMA']","['0.55 ±  0.06', '0.26 ±  0.02']"
--,0204-170,02:04:57.6743,-17:01:19.840,"['1mm', '850µm']","['18 Jan 2018', '18 Jan 2016']","['SMA', 'SMA']","['0.41 ±  0.02', '0.59 ±  0.07']"
--,0205+322,02:05:04.9253,+32:12:30.095,"['1mm', '850µm']","['24 Jan 2023', '16 Oct 2021']","['SMA', 'SMA']","['0.41 ±  0.02', '0.31 ±  0.03']"
--,0210-510,02:10:46.2051,-51:01:01.874,['1mm'],['12 Oct 2010'],['SMA'],['1.48 ±  0.07']
--,0215-023,02:15:42.0172,-02:22:56.751,"['1mm', '850µm']","['24 Jan 2023', '24 Feb 2016']","['SMA', 'SMA']","['0.06 ±  0.01', '0.14 ±  0.04']"
--,0217+738,02:17:30.8133,+73:49:32.621,"['1mm', '850µm']","['22 Aug 2023', '05 Jan 2021']","['SMA', 'SMA']","['0.68 ±  0.04', '0.26 ±  0.03']"
--,0217+017,02:17:48.9547,+01:44:49.699,"['1mm', '850µm']","['22 Aug 2023', '19 Jan 2022']","['SMA', 'SMA']","['0.37 ±  0.02', '0.75 ±  0.05']"
--,0219+013,02:19:07.0244,+01:20:59.865,"['1mm', '850µm']","['22 Aug 2023', '09 Jun 2022']","['SMA', 'SMA']","['0.30 ±  0.02', '0.19 ±  0.02']"
--,0222-346,02:22:56.4016,-34:41:28.730,"['1mm', '850µm']","['17 Nov 2017', '01 Dec 2006']","['SMA', 'SMA']","['0.17 ±  0.03', '0.31 ±  0.09']"
--,0224+069,02:24:28.4281,+06:59:23.341,"['1mm', '850µm']","['06 Oct 2023', '09 Jun 2022']","['SMA', 'SMA']","['1.32 ±  0.05', '0.67 ±  0.04']"
--,0228+673,02:28:50.0514,+67:21:03.029,"['1mm', '850µm']","['23 Feb 2023', '09 Jun 2022']","['SMA', 'SMA']","['0.77 ±  0.04', '0.26 ±  0.02']"
--,0237+288,02:37:52.4056,+28:48:08.990,"['1mm', '850µm']","['22 Aug 2023', '09 Jun 2022']","['SMA', 'SMA']","['0.82 ±  0.04', '0.72 ±  0.04']"
--,0238+166,02:38:38.9301,+16:36:59.274,"['1mm', '850µm']","['03 Oct 2023', '16 Oct 2021']","['SMA', 'SMA']","['1.63 ±  0.08', '1.01 ±  0.06']"
--,0239+042,02:39:51.2630,+04:16:21.411,"['1mm', '850µm']","['02 Aug 2023', '08 Jul 2021']","['SMA', 'SMA']","['0.28 ±  0.02', '0.13 ±  0.04']"
--,0240-231,02:40:08.1745,-23:09:15.730,['1mm'],['01 Aug 2005'],['SMA'],['0.15 ±  0.02']
--,0241-082,02:41:04.7985,-08:15:20.751,"['1mm', '850µm']","['05 Feb 2022', '19 Jan 2022']","['SMA', 'SMA']","['0.53 ±  0.03', '0.39 ±  0.04']"
--,0242+110,02:42:29.1708,+11:01:00.728,"['1mm', '850µm']","['22 Aug 2023', '08 Jul 2021']","['SMA', 'SMA']","['0.23 ±  0.02', '0.21 ±  0.03']"
--,0242-215,02:42:35.9098,-21:32:25.935,"['1mm', '850µm']","['22 Aug 2023', '20 Feb 2008']","['SMA', 'SMA']","['0.05 ±  0.02', '0.23 ±  0.10']"
--,0244+624,02:44:57.6968,+62:28:06.514,"['1mm', '850µm']","['22 Aug 2023', '09 Jun 2022']","['SMA', 'SMA']","['0.43 ±  0.03', '0.44 ±  0.03']"
--,0246-468,02:46:00.1180,-46:51:17.233,['1mm'],['12 Oct 2010'],['SMA'],['0.94 ±  0.05']
--,0251+432,02:51:34.5367,+43:15:15.828,"['1mm', '850µm']","['23 Feb 2023', '08 Jul 2021']","['SMA', 'SMA']","['0.06 ±  0.01', '0.11 ±  0.03']"
--,0259+425,02:59:37.6943,+42:35:49.802,"['1mm', '850µm']","['24 Jan 2023', '19 Jan 2022']","['SMA', 'SMA']","['0.05 ±  0.01', '0.08 ±  0.04']"
--,0303+472,03:03:35.2422,+47:16:16.275,"['1mm', '850µm']","['22 Aug 2023', '09 Jun 2022']","['SMA', 'SMA']","['0.47 ±  0.04', '0.41 ±  0.03']"
--,0309+104,03:09:03.6235,+10:29:16.340,"['1mm', '850µm']","['22 Aug 2023', '07 Jun 2022']","['SMA', 'SMA']","['0.32 ±  0.02', '0.39 ±  0.03']"
--,0310+382,03:10:49.8799,+38:14:53.837,"['1mm', '850µm']","['02 Aug 2023', '09 Jun 2022']","['SMA', 'SMA']","['0.45 ±  0.03', '0.19 ±  0.02']"
--,0313+413,03:13:01.9621,+41:20:01.183,"['1mm', '850µm']","['23 Feb 2023', '09 Jun 2022']","['SMA', 'SMA']","['0.77 ±  0.04', '0.52 ±  0.03']"
3c84,0319+415,03:19:48.1601,+41:30:42.103,"['1mm', '850µm']","['06 Oct 2023', '24 Oct 2022']","['SMA', 'SMA']","['15.25 ±  0.38', '8.24 ±  0.41']"
--,0325+469,03:25:20.3038,+46:55:06.635,"['1mm', '850µm']","['12 Jan 2023', '09 Jun 2022']","['SMA', 'SMA']","['0.11 ±  0.02', '0.22 ±  0.02']"
--,0325+226,03:25:36.8143,+22:24:00.365,"['1mm', '850µm']","['22 Aug 2023', '11 Jan 2012']","['SMA', 'SMA']","['0.67 ±  0.04', '0.19 ±  0.04']"
--,0329-239,03:29:54.0755,-23:57:08.773,"['1mm', '850µm']","['22 Aug 2023', '19 Jan 2022']","['SMA', 'SMA']","['0.17 ±  0.02', '0.11 ±  0.04']"
--,0334-401,03:34:13.6544,-40:08:25.397,"['1mm', '850µm']","['29 Jul 2015', '25 Sep 2011']","['SMA', 'SMA']","['0.44 ±  0.03', '0.74 ±  0.07']"
--,0336+323,03:36:30.1075,+32:18:29.342,"['1mm', '850µm']","['06 Aug 2023', '16 Oct 2021']","['SMA', 'SMA']","['0.49 ±  0.03', '0.88 ±  0.05']"
--,0339-017,03:39:30.9377,-01:46:35.803,"['1mm', '850µm']","['06 Jul 2022', '29 Jun 2021']","['SMA', 'SMA']","['0.62 ±  0.03', '0.12 ±  0.04']"
--,0340-213,03:40:35.6078,-21:19:31.172,"['1mm', '850µm']","['09 Feb 2018', '12 Aug 2018']","['SMA', 'SMA']","['0.22 ±  0.02', '0.23 ±  0.08']"
--,0346+540,03:46:34.5041,+54:00:59.100,"['1mm', '850µm']","['22 Aug 2023', '29 Jun 2021']","['SMA', 'SMA']","['0.27 ±  0.02', '0.14 ±  0.05']"
--,0348-278,03:48:38.1445,-27:49:13.565,"['1mm', '850µm']","['06 Oct 2023', '05 Jan 2021']","['SMA', 'SMA']","['1.01 ±  0.04', '1.54 ±  0.09']"
--,0354+467,03:54:30.0116,+46:43:18.750,"['1mm', '850µm']","['02 Aug 2023', '11 Jun 2010']","['SMA', 'SMA']","['0.22 ±  0.02', '0.22 ±  0.06']"
--,0359+509,03:59:29.7472,+50:57:50.161,"['1mm', '850µm']","['06 Oct 2023', '28 Jan 2022']","['SMA', 'SMA']","['4.29 ±  0.15', '3.59 ±  0.19']"
--,0359+323,03:59:44.9129,+32:20:47.155,"['1mm', '850µm']","['02 Aug 2023', '19 Jan 2022']","['SMA', 'SMA']","['0.24 ±  0.02', '0.11 ±  0.03']"
--,0401+042,04:01:19.9128,+04:13:34.408,"['1mm', '850µm']","['23 Feb 2023', '09 Jun 2022']","['SMA', 'SMA']","['0.47 ±  0.03', '0.24 ±  0.02']"
--,0402-317,04:02:21.2660,-31:47:25.945,['1mm'],['15 Sep 2008'],['SMA'],['0.13 ±  0.03']
--,0403-360,04:03:53.7499,-36:05:01.913,"['1mm', '850µm']","['08 Nov 2017', '24 Feb 2016']","['SMA', 'SMA']","['0.64 ±  0.03', '1.08 ±  0.08']"
--,0405-131,04:05:34.0034,-13:08:13.691,"['1mm', '850µm']","['24 Jan 2023', '09 Jun 2022']","['SMA', 'SMA']","['0.38 ±  0.02', '0.21 ±  0.02']"
--,0406-384,04:06:59.0353,-38:26:28.042,['1mm'],['07 Mar 2017'],['SMA'],['0.42 ±  0.04']
--,0410+769,04:10:45.6057,+76:56:45.301,"['1mm', '850µm']","['24 Jan 2023', '05 Jan 2021']","['SMA', 'SMA']","['0.20 ±  0.02', '0.15 ±  0.03']"
--,0415+448,04:15:56.5265,+44:52:49.683,"['1mm', '850µm']","['22 Aug 2023', '13 Jan 2022']","['SMA', 'SMA']","['0.14 ±  0.01', '0.12 ±  0.03']"
--,0416-209,04:16:04.3597,-20:56:27.517,"['1mm', '850µm']","['23 Feb 2023', '19 Jan 2022']","['SMA', 'SMA']","['0.17 ±  0.01', '0.12 ±  0.04']"
3c111,0418+380,04:18:21.2770,+38:01:35.800,"['1mm', '850µm']","['06 Oct 2023', '19 Jan 2022']","['SMA', 'SMA']","['1.48 ±  0.04', '1.12 ±  0.07']"
--,0422+023,04:22:52.2146,+02:19:26.931,"['1mm', '850µm']","['02 Aug 2023', '13 Jan 2022']","['SMA', 'SMA']","['0.05 ±  0.02', '0.09 ±  0.03']"
--,0423-013,04:23:15.8007,-01:20:33.065,"['1mm', '850µm']","['06 Oct 2023', '07 Jun 2022']","['SMA', 'SMA']","['2.65 ±  0.09', '2.58 ±  0.13']"
--,0423+418,04:23:56.0097,+41:50:02.712,"['1mm', '850µm']","['09 Aug 2018', '16 Jul 2008']","['SMA', 'SMA']","['0.52 ±  0.03', '0.40 ±  0.10']"
--,0424-379,04:24:42.2437,-37:56:20.784,"['1mm', '850µm']","['06 Jul 2016', '18 Jan 2007']","['SMA', 'SMA']","['0.44 ±  0.04', '0.37 ±  0.04']"
--,0424+006,04:24:46.8420,+00:36:06.329,"['1mm', '850µm']","['23 Feb 2023', '19 Jan 2022']","['SMA', 'SMA']","['0.08 ±  0.01', '0.25 ±  0.03']"
--,0428+329,04:28:05.8087,+32:59:52.043,"['1mm', '850µm']","['22 Aug 2023', '08 Jul 2021']","['SMA', 'SMA']","['0.05 ±  0.02', '0.11 ±  0.03']"
--,0428-379,04:28:40.4243,-37:56:19.580,"['1mm', '850µm']","['05 Aug 2020', '09 Jun 2022']","['SMA', 'SMA']","['0.78 ±  0.05', '0.57 ±  0.04']"
3c120,0433+053,04:33:11.0955,+05:21:15.619,"['1mm', '850µm']","['06 Oct 2023', '22 Jan 2017']","['SMA', 'SMA']","['2.37 ±  0.08', '3.10 ±  0.17']"
--,0440-435,04:40:17.1799,-43:33:08.604,['1mm'],['03 Oct 2015'],['SMA'],['0.18 ±  0.01']
--,0442-002,04:42:38.6607,-00:17:43.419,"['1mm', '850µm']","['23 Feb 2023', '19 Jan 2022']","['SMA', 'SMA']","['0.68 ±  0.04', '0.20 ±  0.03']"
--,0449+113,04:49:07.6711,+11:21:28.596,"['1mm', '850µm']","['22 Aug 2023', '19 Jan 2022']","['SMA', 'SMA']","['0.69 ±  0.04', '0.21 ±  0.04']"
--,0449+635,04:49:23.3105,+63:32:09.434,"['1mm', '850µm']","['22 Aug 2023', '13 Jan 2022']","['SMA', 'SMA']","['0.53 ±  0.03', '0.40 ±  0.04']"
--,0453-281,04:53:14.6468,-28:07:37.327,"['1mm', '850µm']","['29 Aug 2018', '13 Feb 2013']","['SMA', 'SMA']","['0.35 ±  0.03', '0.59 ±  0.06']"
--,0455-462,04:55:50.7724,-46:15:58.682,"['1mm', '850µm']","['20 Aug 2013', '18 Sep 2010']","['SMA', 'SMA']","['0.45 ±  0.12', '0.49 ±  0.06']"
--,0457-234,04:57:03.1792,-23:24:52.020,"['1mm', '850µm']","['07 Sep 2018', '11 Jan 2012']","['SMA', 'SMA']","['0.59 ±  0.04', '0.66 ±  0.05']"
--,0457+067,04:57:07.7099,+06:45:07.260,"['1mm', '850µm']","['22 Aug 2023', '13 Jan 2022']","['SMA', 'SMA']","['0.18 ±  0.02', '0.09 ±  0.03']"
--,0501-019,05:01:12.8098,-01:59:14.256,"['1mm', '850µm']","['06 Oct 2023', '19 Jan 2022']","['SMA', 'SMA']","['1.36 ±  0.04', '1.32 ±  0.08']"
--,0502+061,05:02:15.4459,+06:09:07.494,"['1mm', '850µm']","['06 Jul 2022', '19 Jan 2022']","['SMA', 'SMA']","['0.17 ±  0.01', '0.09 ±  0.03']"
--,0502+136,05:02:33.2195,+13:38:10.958,"['1mm', '850µm']","['22 Aug 2023', '16 Oct 2021']","['SMA', 'SMA']","['0.27 ±  0.02', '0.22 ±  0.03']"
--,0502+416,05:02:37.9877,+41:39:19.337,"['1mm', '850µm']","['11 Jan 2023', '04 Feb 2013']","['SMA', 'SMA']","['0.14 ±  0.01', '0.12 ±  0.03']"
--,0505+049,05:05:23.1847,+04:59:42.724,"['1mm', '850µm']","['21 Aug 2018', '20 Apr 2007']","['SMA', 'SMA']","['0.71 ±  0.04', '0.39 ±  0.12']"
--,0509+056,05:09:25.9644,+05:41:35.333,"['1mm', '850µm']","['06 Oct 2023', '16 Oct 2021']","['SMA', 'SMA']","['0.95 ±  0.05', '0.70 ±  0.04']"
--,0510+180,05:10:02.3691,+18:00:41.581,"['1mm', '850µm']","['03 Oct 2023', '19 Jan 2022']","['SMA', 'SMA']","['1.05 ±  0.05', '0.89 ±  0.05']"
--,0512+152,05:12:41.0129,+15:17:23.479,"['1mm', '850µm']","['23 Feb 2023', '08 Jul 2021']","['SMA', 'SMA']","['0.06 ±  0.01', '0.14 ±  0.04']"
--,0522+012,05:22:17.4674,+01:13:31.186,"['1mm', '850µm']","['22 Aug 2023', '01 Feb 2016']","['SMA', 'SMA']","['0.08 ±  0.02', '0.18 ±  0.04']"
--,0522-364,05:22:57.9846,-36:27:30.850,"['1mm', '850µm']","['06 Oct 2023', '18 Sep 2010']","['SMA', 'SMA']","['2.12 ±  0.06', '2.71 ±  0.15']"
--,0526-485,05:26:16.6713,-48:30:36.791,"['1mm', '850µm']","['12 Oct 2010', '30 Dec 2009']","['SMA', 'SMA']","['0.20 ±  0.01', '0.21 ±  0.04']"
--,0527+035,05:27:32.7054,+03:31:31.516,"['1mm', '850µm']","['23 Feb 2023', '19 Jan 2022']","['SMA', 'SMA']","['0.25 ±  0.02', '0.13 ±  0.03']"
--,0530+135,05:30:56.4167,+13:31:55.149,"['1mm', '850µm']","['11 Mar 2023', '16 Oct 2021']","['SMA', 'SMA']","['0.63 ±  0.03', '0.49 ±  0.04']"
--,0532+075,05:32:38.9985,+07:32:43.345,"['1mm', '850µm']","['14 Sep 2023', '19 Jan 2022']","['SMA', 'SMA']","['0.76 ±  0.04', '0.55 ±  0.04']"
