# SMA Pointing Sources
# from http://sma1.sma.hawaii.edu/callist/callist.html
# 2024-01-15
#commonName,name,ra,dec,freq,date,obs,flux
--,0753+538,07:53:01.3845,+53:52:59.637,"['1mm', '850µm']","['02 Aug 2023', '16 Oct 2021']","['SMA', 'SMA']","['0.24 ±  0.02', '0.13 ±  0.03']"
--,0757+099,07:57:06.6429,+09:56:34.852,"['1mm', '850µm']","['03 Oct 2023', '23 Nov 2021']","['SMA', 'SMA']","['0.63 ±  0.03', '0.63 ±  0.07']"
--,0802+181,08:02:48.0319,+18:09:49.249,"['1mm', '850µm']","['08 Jun 2023', '24 May 2010']","['SMA', 'SMA']","['0.09 ±  0.01', '0.13 ±  0.03']"
--,0804-278,08:04:51.4511,-27:49:11.320,"['1mm', '850µm']","['23 Feb 2023', '13 Feb 2013']","['SMA', 'SMA']","['0.09 ±  0.01', '0.63 ±  0.10']"
--,0806-268,08:06:12.7225,-26:52:33.307,['1mm'],['23 Feb 2023'],['SMA'],['0.07 ±  0.01']
--,0808-078,08:08:15.5360,-07:51:09.886,"['1mm', '850µm']","['14 Jan 2018', '15 Feb 2016']","['SMA', 'SMA']","['0.25 ±  0.03', '0.42 ±  0.06']"
--,0808+498,08:08:39.6662,+49:50:36.530,"['1mm', '850µm']","['23 Feb 2023', '04 Feb 2016']","['SMA', 'SMA']","['0.12 ±  0.01', '0.27 ±  0.09']"
--,0811+017,08:11:26.7073,+01:46:52.220,"['1mm', '850µm']","['13 Apr 2023', '23 Nov 2021']","['SMA', 'SMA']","['0.34 ±  0.05', '0.30 ±  0.06']"
--,0818+423,08:18:15.9996,+42:22:45.414,"['1mm', '850µm']","['13 Apr 2023', '16 Oct 2021']","['SMA', 'SMA']","['0.44 ±  0.05', '0.35 ±  0.03']"
--,0823+223,08:23:24.7591,+22:23:03.288,"['1mm', '850µm']","['08 Jun 2023', '05 Jan 2021']","['SMA', 'SMA']","['0.28 ±  0.02', '0.25 ±  0.03']"
--,0824+558,08:24:47.2363,+55:52:42.669,"['1mm', '850µm']","['13 Apr 2023', '01 Apr 2010']","['SMA', 'SMA']","['0.37 ±  0.05', '0.16 ±  0.07']"
--,0824+392,08:24:55.4838,+39:16:41.904,"['1mm', '850µm']","['23 Feb 2023', '20 Jun 2017']","['SMA', 'SMA']","['0.15 ±  0.01', '0.26 ±  0.03']"
--,0825+031,08:25:50.3383,+03:09:24.520,"['1mm', '850µm']","['09 Nov 2021', '31 Jan 2021']","['SMA', 'SMA']","['0.88 ±  0.04', '0.69 ±  0.04']"
--,0826-225,08:26:01.5729,-22:30:27.202,"['1mm', '850µm']","['21 Aug 2020', '06 Nov 2017']","['SMA', 'SMA']","['0.72 ±  0.04', '0.66 ±  0.04']"
--,0828-375,08:28:04.7802,-37:31:06.280,"['1mm', '850µm']","['05 Apr 2019', '07 Jun 2018']","['SMA', 'SMA']","['0.22 ±  0.01', '0.15 ±  0.04']"
--,0830+241,08:30:52.0861,+24:10:59.820,"['1mm', '850µm']","['20 Jun 2023', '15 Jun 2018']","['SMA', 'SMA']","['0.51 ±  0.03', '0.32 ±  0.02']"
--,0831+044,08:31:48.8769,+04:29:39.085,"['1mm', '850µm']","['06 Oct 2023', '16 Oct 2021']","['SMA', 'SMA']","['1.04 ±  0.03', '1.29 ±  0.08']"
--,0836-202,08:36:39.2152,-20:16:59.503,"['1mm', '850µm']","['08 Nov 2022', '07 Dec 2013']","['SMA', 'SMA']","['0.14 ±  0.01', '0.30 ±  0.04']"
--,0839+033,08:39:49.1958,+03:19:53.858,['1mm'],['07 Feb 2023'],['SMA'],['0.05 ±  0.01']
3c207,0840+132,08:40:47.5890,+13:12:23.560,"['1mm', '850µm']","['09 Jun 2023', '23 Nov 2021']","['SMA', 'SMA']","['0.40 ±  0.02', '0.27 ±  0.05']"
--,0841+708,08:41:24.3652,+70:53:42.173,"['1mm', '850µm']","['09 Jun 2023', '16 Oct 2021']","['SMA', 'SMA']","['0.62 ±  0.04', '0.93 ±  0.06']"
oj287,0854+201,08:54:48.8749,+20:06:30.640,"['1mm', '850µm']","['06 Oct 2023', '14 Mar 2022']","['SMA', 'SMA']","['4.02 ±  0.12', '2.68 ±  0.10']"
--,0902-142,09:02:16.8309,-14:15:30.875,"['1mm', '850µm']","['05 Apr 2019', '14 Jan 2017']","['SMA', 'SMA']","['0.09 ±  0.01', '0.24 ±  0.06']"
--,0903+468,09:03:03.9901,+46:51:04.137,"['1mm', '850µm']","['08 Jun 2023', '15 Jun 2018']","['SMA', 'SMA']","['0.20 ±  0.01', '0.37 ±  0.03']"
--,0909+013,09:09:10.0915,+01:21:35.617,"['1mm', '850µm']","['22 Jan 2017', '31 Jan 2022']","['SMA', 'SMA']","['0.58 ±  0.03', '0.35 ±  0.02']"
--,0914+027,09:14:37.9134,+02:45:59.245,"['1mm', '850µm']","['23 Feb 2023', '31 Jan 2021']","['SMA', 'SMA']","['0.22 ±  0.01', '0.12 ±  0.01']"
--,0920+446,09:20:58.4584,+44:41:53.985,"['1mm', '850µm']","['04 May 2023', '16 Oct 2021']","['SMA', 'SMA']","['0.49 ±  0.03', '0.82 ±  0.05']"
--,0921+622,09:21:36.2310,+62:15:52.180,"['1mm', '850µm']","['13 Apr 2023', '01 Jul 2011']","['SMA', 'SMA']","['0.38 ±  0.05', '0.33 ±  0.06']"
--,0925+003,09:25:07.8150,+00:19:13.933,"['1mm', '850µm']","['23 Feb 2023', '23 Nov 2021']","['SMA', 'SMA']","['0.09 ±  0.01', '0.12 ±  0.03']"
--,0927+390,09:27:03.0139,+39:02:20.851,"['1mm', '850µm']","['06 Oct 2023', '22 Jan 2017']","['SMA', 'SMA']","['1.23 ±  0.04', '1.08 ±  0.07']"
--,0927-205,09:27:51.8243,-20:34:51.232,"['1mm', '850µm']","['30 Mar 2019', '06 Nov 2017']","['SMA', 'SMA']","['0.28 ±  0.02', '0.23 ±  0.02']"
--,0937+501,09:37:12.3273,+50:08:52.097,"['1mm', '850µm']","['02 Jun 2023', '05 Feb 2016']","['SMA', 'SMA']","['0.35 ±  0.03', '0.67 ±  0.08']"
--,0943-083,09:43:36.9443,-08:19:30.812,"['1mm', '850µm']","['15 Mar 2022', '23 Nov 2021']","['SMA', 'SMA']","['0.05 ±  0.01', '0.16 ±  0.04']"
--,0948+406,09:48:55.3381,+40:39:44.587,"['1mm', '850µm']","['09 Jun 2023', '14 Jan 2017']","['SMA', 'SMA']","['0.17 ±  0.01', '0.23 ±  0.06']"
--,0956+252,09:56:49.8753,+25:15:16.049,"['1mm', '850µm']","['09 Jun 2023', '01 Jul 2011']","['SMA', 'SMA']","['0.29 ±  0.02', '0.33 ±  0.06']"
--,0957+553,09:57:38.1849,+55:22:57.769,"['1mm', '850µm']","['23 Feb 2023', '07 Jun 2018']","['SMA', 'SMA']","['0.28 ±  0.02', '0.25 ±  0.02']"
--,0958+474,09:58:19.6716,+47:25:07.842,"['1mm', '850µm']","['13 Apr 2023', '01 Jul 2011']","['SMA', 'SMA']","['0.55 ±  0.05', '0.23 ±  0.05']"
--,0958+655,09:58:47.2451,+65:33:54.818,"['1mm', '850µm']","['06 Oct 2023', '15 Jun 2018']","['SMA', 'SMA']","['2.69 ±  0.10', '0.65 ±  0.04']"
--,1001-446,10:01:59.9080,-44:38:00.603,['1mm'],['30 Mar 2019'],['SMA'],['0.09 ±  0.01']
--,1008+063,10:08:00.8161,+06:21:21.215,"['1mm', '850µm']","['23 Jan 2023', '29 Jun 2009']","['SMA', 'SMA']","['0.13 ±  0.01', '0.34 ±  0.06']"
--,1010+828,10:10:15.7830,+82:50:14.384,"['1mm', '850µm']","['11 Jan 2023', '05 Feb 2016']","['SMA', 'SMA']","['0.17 ±  0.01', '0.38 ±  0.09']"
--,1014+230,10:14:47.0654,+23:01:16.570,"['1mm', '850µm']","['21 Apr 2023', '01 Jul 2011']","['SMA', 'SMA']","['0.50 ±  0.03', '0.38 ±  0.05']"
--,1018+357,10:18:10.9880,+35:42:39.441,"['1mm', '850µm']","['09 Jun 2023', '31 Jan 2021']","['SMA', 'SMA']","['0.46 ±  0.03', '0.11 ±  0.01']"
--,1033+608,10:33:51.4289,+60:51:07.334,['1mm'],['06 Oct 2023'],['SMA'],['1.16 ±  0.03']
--,1035-201,10:35:02.1552,-20:11:34.359,"['1mm', '850µm']","['23 May 2018', '12 Jun 2010']","['SMA', 'SMA']","['0.34 ±  0.03', '0.20 ±  0.04']"
--,1037-295,10:37:16.0797,-29:34:02.813,"['1mm', '850µm']","['06 Oct 2023', '31 Jan 2021']","['SMA', 'SMA']","['0.98 ±  0.04', '0.38 ±  0.03']"
--,1039-156,10:39:06.7050,-15:41:06.691,"['1mm', '850µm']","['09 Jun 2023', '12 Jun 2010']","['SMA', 'SMA']","['0.10 ±  0.01', '0.27 ±  0.04']"
--,1041+061,10:41:17.1625,+06:10:16.923,"['1mm', '850µm']","['29 Mar 2023', '31 Jan 2021']","['SMA', 'SMA']","['0.51 ±  0.03', '0.16 ±  0.01']"
--,1043+241,10:43:09.0357,+24:08:35.409,"['1mm', '850µm']","['10 Jan 2023', '20 Mar 2014']","['SMA', 'SMA']","['0.22 ±  0.01', '0.47 ±  0.08']"
--,1044+809,10:44:23.0625,+80:54:39.443,"['1mm', '850µm']","['09 Jun 2023', '24 May 2010']","['SMA', 'SMA']","['0.20 ±  0.02', '0.36 ±  0.05']"
--,1048-191,10:48:06.6206,-19:09:35.726,"['1mm', '850µm']","['09 Jun 2023', '23 Nov 2021']","['SMA', 'SMA']","['0.35 ±  0.02', '0.31 ±  0.04']"
--,1048+717,10:48:27.6199,+71:43:35.938,"['1mm', '850µm']","['06 Oct 2023', '30 Jan 2022']","['SMA', 'SMA']","['0.99 ±  0.05', '1.15 ±  0.03']"
--,1051+213,10:51:48.7890,+21:19:52.314,"['1mm', '850µm']","['22 Jul 2021', '07 Jun 2018']","['SMA', 'SMA']","['0.57 ±  0.02', '0.05 ±  0.02']"
--,1057-245,10:57:55.4100,-24:33:48.871,"['1mm', '850µm']","['09 Feb 2022', '23 Nov 2021']","['SMA', 'SMA']","['0.04 ±  0.01', '0.15 ±  0.04']"
--,1058+812,10:58:11.5353,+81:14:32.675,"['1mm', '850µm']","['08 Jun 2023', '24 May 2010']","['SMA', 'SMA']","['0.47 ±  0.03', '0.40 ±  0.05']"
--,1058+015,10:58:29.6052,+01:33:58.823,"['1mm', '850µm']","['06 Oct 2023', '31 Jan 2022']","['SMA', 'SMA']","['2.65 ±  0.13', '1.84 ±  0.06']"
--,1102+279,11:02:14.2884,+27:57:08.689,"['1mm', '850µm']","['23 Feb 2023', '05 Feb 2016']","['SMA', 'SMA']","['0.17 ±  0.01', '0.31 ±  0.06']"
--,1103+302,11:03:13.3018,+30:14:42.702,"['1mm', '850µm']","['09 Jun 2023', '05 Dec 2006']","['SMA', 'SMA']","['0.23 ±  0.02', '0.32 ±  0.11']"
--,1103+220,11:03:23.0676,+22:03:37.720,['1mm'],['10 Jan 2023'],['SMA'],['0.02 ±  0.01']
mrk421,1104+382,11:04:27.3139,+38:12:31.799,"['1mm', '850µm']","['20 Jun 2023', '04 Feb 2016']","['SMA', 'SMA']","['0.20 ±  0.01', '0.31 ±  0.06']"
--,1107-448,11:07:08.6941,-44:49:07.618,['1mm'],['16 Feb 2012'],['SMA'],['0.75 ±  0.03']
--,1107+164,11:07:15.0474,+16:28:02.245,"['1mm', '850µm']","['10 Jan 2023', '31 Jan 2021']","['SMA', 'SMA']","['0.02 ±  0.01', '0.05 ±  0.01']"
--,1111+199,11:11:20.0658,+19:55:36.001,"['1mm', '850µm']","['27 May 2021', '20 Jun 2017']","['SMA', 'SMA']","['0.06 ±  0.01', '0.10 ±  0.03']"
--,1112-219,11:12:49.8487,-21:58:29.351,"['1mm', '850µm']","['08 Nov 2022', '31 Jan 2021']","['SMA', 'SMA']","['0.03 ±  0.01', '0.06 ±  0.01']"
--,1118+125,11:18:57.3014,+12:34:41.718,"['1mm', '850µm']","['23 Feb 2023', '31 Jan 2021']","['SMA', 'SMA']","['0.18 ±  0.01', '0.16 ±  0.01']"
--,1120-251,11:20:09.1207,-25:08:07.608,"['1mm', '850µm']","['10 Jan 2023', '23 Nov 2021']","['SMA', 'SMA']","['0.02 ±  0.01', '0.16 ±  0.04']"
--,1120+143,11:20:27.8072,+14:20:54.991,"['1mm', '850µm']","['10 Jan 2023', '15 Jun 2018']","['SMA', 'SMA']","['0.02 ±  0.01', '0.19 ±  0.02']"
--,1122+180,11:22:29.7114,+18:05:26.343,"['1mm', '850µm']","['10 Jan 2023', '22 Jun 2017']","['SMA', 'SMA']","['0.08 ±  0.01', '0.09 ±  0.03']"
--,1127-189,11:27:04.3924,-18:57:17.441,"['1mm', '850µm']","['13 Apr 2023', '01 Jul 2011']","['SMA', 'SMA']","['0.62 ±  0.07', '0.81 ±  0.07']"
--,1130-148,11:30:07.0525,-14:49:27.388,"['1mm', '850µm']","['20 Jun 2023', '23 Nov 2021']","['SMA', 'SMA']","['1.38 ±  0.07', '0.45 ±  0.05']"
--,1145-228,11:45:22.0468,-22:50:31.342,"['1mm', '850µm']","['08 Nov 2022', '06 Nov 2017']","['SMA', 'SMA']","['0.10 ±  0.01', '0.17 ±  0.02']"
--,1146-289,11:46:26.1886,-28:59:18.504,"['1mm', '850µm']","['10 Jan 2023', '01 Jul 2011']","['SMA', 'SMA']","['0.18 ±  0.01', '0.34 ±  0.07']"
--,1146+539,11:46:44.2043,+53:56:43.083,"['1mm', '850µm']","['08 Nov 2022', '31 Jan 2021']","['SMA', 'SMA']","['0.08 ±  0.01', '0.07 ±  0.01']"
--,1146+399,11:46:58.2979,+39:58:34.304,"['1mm', '850µm']","['11 Jan 2023', '07 Mar 2022']","['SMA', 'SMA']","['0.48 ±  0.02', '0.35 ±  0.02']"
--,1147-382,11:47:01.3707,-38:12:11.023,"['1mm', '850µm']","['14 Jan 2018', '07 Jun 2018']","['SMA', 'SMA']","['0.66 ±  0.05', '0.49 ±  0.04']"
--,1153+809,11:53:12.4991,+80:58:29.154,"['1mm', '850µm']","['10 Jan 2023', '20 Jun 2017']","['SMA', 'SMA']","['0.48 ±  0.03', '0.20 ±  0.04']"
--,1153+495,11:53:24.4666,+49:31:08.830,"['1mm', '850µm']","['11 Jan 2023', '05 Feb 2016']","['SMA', 'SMA']","['0.18 ±  0.01', '0.30 ±  0.07']"
--,1159-224,11:59:11.2672,-22:28:36.902,"['1mm', '850µm']","['09 Feb 2022', '31 Jan 2021']","['SMA', 'SMA']","['0.15 ±  0.01', '0.33 ±  0.02']"
--,1159+292,11:59:31.8339,+29:14:43.826,"['1mm', '850µm']","['29 Sep 2023', '14 Mar 2022']","['SMA', 'SMA']","['0.80 ±  0.04', '3.46 ±  0.12']"
--,1159-218,11:59:51.9061,-21:48:53.707,"['1mm', '850µm']","['23 Feb 2023', '06 Nov 2017']","['SMA', 'SMA']","['0.07 ±  0.01', '0.14 ±  0.02']"
--,1203+480,12:03:29.8546,+48:03:13.629,"['1mm', '850µm']","['10 Jan 2023', '23 Nov 2021']","['SMA', 'SMA']","['0.10 ±  0.01', '0.15 ±  0.03']"
--,1205-265,12:05:33.2123,-26:34:04.464,"['1mm', '850µm']","['09 Jun 2023', '06 Nov 2017']","['SMA', 'SMA']","['0.42 ±  0.03', '0.16 ±  0.02']"
--,1207+279,12:07:27.9004,+27:54:58.849,"['1mm', '850µm']","['10 Jan 2023', '31 Jan 2021']","['SMA', 'SMA']","['0.11 ±  0.01', '0.06 ±  0.01']"
--,1209-241,12:09:02.4451,-24:06:20.759,"['1mm', '850µm']","['29 Mar 2023', '23 Nov 2021']","['SMA', 'SMA']","['0.44 ±  0.03', '0.35 ±  0.05']"
--,1215-175,12:15:46.7517,-17:31:45.402,"['1mm', '850µm']","['10 Jan 2023', '27 Dec 2006']","['SMA', 'SMA']","['0.60 ±  0.03', '0.57 ±  0.17']"
--,1218-460,12:18:06.2518,-46:00:29.007,['1mm'],['09 Feb 2022'],['SMA'],['0.05 ±  0.01']
--,1221+282,12:21:31.6905,+28:13:58.500,['1mm'],['12 Oct 2010'],['SMA'],['0.25 ±  0.01']
--,1222+042,12:22:22.5496,+04:13:15.776,"['1mm', '850µm']","['23 Feb 2023', '31 Jan 2021']","['SMA', 'SMA']","['0.67 ±  0.04', '0.33 ±  0.02']"
--,1224+213,12:24:54.4583,+21:22:46.388,"['1mm', '850µm']","['20 Jun 2023', '31 Jan 2021']","['SMA', 'SMA']","['0.22 ±  0.01', '0.25 ±  0.02']"
--,1227+365,12:27:58.7254,+36:35:11.827,"['1mm', '850µm']","['08 Jun 2023', '31 Jan 2021']","['SMA', 'SMA']","['0.02 ±  0.01', '0.06 ±  0.01']"
3c273,1229+020,12:29:06.6997,+02:03:08.598,"['1mm', '850µm']","['11 Jul 2023', '23 Nov 2021']","['SMA', 'SMA']","['4.23 ±  0.21', '3.21 ±  0.16']"
3c274,1230+123,12:30:49.4233,+12:23:28.043,"['1mm', '850µm']","['20 Jun 2023', '15 Jun 2018']","['SMA', 'SMA']","['1.71 ±  0.09', '0.88 ±  0.05']"
--,1239+075,12:39:24.5883,+07:30:17.189,"['1mm', '850µm']","['27 Mar 2022', '20 Mar 2014']","['SMA', 'SMA']","['0.22 ±  0.01', '0.47 ±  0.07']"
--,1244+408,12:44:49.1872,+40:48:06.153,"['1mm', '850µm']","['08 Nov 2022', '07 Jun 2018']","['SMA', 'SMA']","['0.05 ±  0.01', '0.07 ±  0.02']"
--,1246-075,12:46:04.2321,-07:30:46.574,"['1mm', '850µm']","['30 May 2019', '06 Nov 2017']","['SMA', 'SMA']","['0.33 ±  0.01', '0.22 ±  0.02']"
--,1246-257,12:46:46.8020,-25:47:49.288,"['1mm', '850µm']","['10 Jan 2023', '25 Feb 2017']","['SMA', 'SMA']","['0.65 ±  0.03', '0.57 ±  0.11']"
--,1248-199,12:48:23.8981,-19:59:18.587,"['1mm', '850µm']","['10 Jan 2023', '12 Jun 2010']","['SMA', 'SMA']","['0.03 ±  0.01', '0.12 ±  0.05']"
--,1254+116,12:54:38.2556,+11:41:05.895,"['1mm', '850µm']","['02 Jun 2023', '23 Nov 2021']","['SMA', 'SMA']","['0.43 ±  0.04', '0.16 ±  0.03']"
3c279,1256-057,12:56:11.1665,-05:47:21.524,"['1mm', '850µm']","['16 Aug 2023', '16 May 2022']","['SMA', 'SMA']","['3.88 ±  0.20', '7.86 ±  0.40']"
--,1258-223,12:58:54.4787,-22:19:31.125,"['1mm', '850µm']","['23 Nov 2021', '23 Nov 2021']","['SMA', 'SMA']","['0.20 ±  0.02', '0.23 ±  0.04']"
--,1305-105,13:05:33.0150,-10:33:19.428,"['1mm', '850µm']","['29 May 2018', '07 Jun 2018']","['SMA', 'SMA']","['0.29 ±  0.02', '0.22 ±  0.05']"
--,1309+119,13:09:33.9324,+11:54:24.552,"['1mm', '850µm']","['02 Jun 2023', '20 Jun 2017']","['SMA', 'SMA']","['0.16 ±  0.02', '0.23 ±  0.03']"
--,1310+323,13:10:28.6638,+32:20:43.782,"['1mm', '850µm']","['20 Jun 2023', '17 Jun 2023']","['SMA', 'SMA']","['2.22 ±  0.11', '1.95 ±  0.10']"
--,1316-336,13:16:07.9859,-33:38:59.172,"['1mm', '850µm']","['26 Mar 2022', '31 Jan 2021']","['SMA', 'SMA']","['0.76 ±  0.04', '0.80 ±  0.04']"
cen a,1325-430,13:25:27.6155,-43:01:08.804,"['1mm', '850µm']","['20 Jan 2023', '20 Jun 2017']","['SMA', 'SMA']","['7.41 ±  0.19', '6.47 ±  0.34']"
--,1327+221,13:27:00.8613,+22:10:50.163,"['1mm', '850µm']","['29 Mar 2023', '23 Nov 2021']","['SMA', 'SMA']","['0.27 ±  0.02', '0.23 ±  0.04']"
--,1329+319,13:29:52.8649,+31:54:11.055,"['1mm', '850µm']","['08 Jun 2023', '20 May 2010']","['SMA', 'SMA']","['0.21 ±  0.01', '0.15 ±  0.03']"
3c286,1331+305,13:31:08.2879,+30:30:32.958,"['1mm', '850µm']","['16 Aug 2023', '27 Mar 2021']","['SMA', 'SMA']","['0.33 ±  0.02', '0.19 ±  0.03']"
--,1337-129,13:37:39.7827,-12:57:24.693,"['1mm', '850µm']","['20 Jun 2023', '23 Nov 2021']","['SMA', 'SMA']","['2.30 ±  0.12', '0.96 ±  0.06']"
--,1357+193,13:57:04.4366,+19:19:07.372,"['1mm', '850µm']","['08 Nov 2022', '23 Nov 2021']","['SMA', 'SMA']","['0.50 ±  0.03', '0.46 ±  0.05']"
--,1357-154,13:57:11.2449,-15:27:28.786,"['1mm', '850µm']","['10 Jan 2023', '23 Nov 2021']","['SMA', 'SMA']","['0.56 ±  0.03', '0.21 ±  0.05']"
--,1357+767,13:57:55.3715,+76:43:21.051,"['1mm', '850µm']","['09 Jun 2023', '06 Nov 2017']","['SMA', 'SMA']","['0.19 ±  0.02', '0.17 ±  0.02']"
--,1408-078,14:08:56.4812,-07:52:26.666,"['1mm', '850µm']","['31 May 2019', '05 Feb 2016']","['SMA', 'SMA']","['0.58 ±  0.03', '0.39 ±  0.07']"
--,1415+133,14:15:58.8174,+13:20:23.712,"['1mm', '850µm']","['26 Sep 2023', '23 Nov 2021']","['SMA', 'SMA']","['0.33 ±  0.01', '0.34 ±  0.05']"
--,1416+347,14:16:04.1862,+34:44:36.427,"['1mm', '850µm']","['23 Sep 2023', '23 Nov 2021']","['SMA', 'SMA']","['0.37 ±  0.02', '0.17 ±  0.03']"
--,1419+543,14:19:46.5974,+54:23:14.787,"['1mm', '850µm']","['28 May 2023', '17 Jun 2023']","['SMA', 'SMA']","['0.37 ±  0.02', '0.31 ±  0.02']"
--,1419+383,14:19:46.6137,+38:21:48.475,"['1mm', '850µm']","['10 Jan 2023', '31 Jan 2021']","['SMA', 'SMA']","['0.12 ±  0.01', '0.16 ±  0.01']"
--,1424-492,14:24:32.28,-49:13:49.30,['1mm'],['24 Jun 2015'],['SMA'],['0.49 ±  0.04']
--,1427-421,14:27:56.2975,-42:06:19.437,"['1mm', '850µm']","['14 Jan 2021', '05 Jul 2017']","['SMA', 'SMA']","['0.58 ±  0.04', '0.90 ±  0.10']"
--,1433-158,14:33:21.4593,-15:48:44.687,"['1mm', '850µm']","['15 Feb 2023', '27 Mar 2021']","['SMA', 'SMA']","['0.06 ±  0.01', '0.05 ±  0.02']"
--,1439-155,14:39:56.8720,-15:31:50.555,"['1mm', '850µm']","['10 Jan 2023', '27 Dec 2006']","['SMA', 'SMA']","['0.14 ±  0.01', '0.39 ±  0.12']"
--,1446+173,14:46:35.3462,+17:21:07.581,"['1mm', '850µm']","['02 Jun 2023', '31 Jan 2021']","['SMA', 'SMA']","['0.20 ±  0.03', '0.09 ±  0.01']"
--,1454-377,14:54:27.4097,-37:47:33.144,"['1mm', '850µm']","['30 Mar 2019', '04 Feb 2016']","['SMA', 'SMA']","['0.44 ±  0.02', '0.36 ±  0.09']"
--,1454-402,14:54:32.9123,-40:12:32.514,['1mm'],['30 Mar 2019'],['SMA'],['0.17 ±  0.01']
--,1458+042,14:58:59.3562,+04:16:13.820,"['1mm', '850µm']","['23 Sep 2023', '31 Jan 2021']","['SMA', 'SMA']","['0.24 ±  0.02', '0.12 ±  0.01']"
3c309.1,1459+716,14:59:07.5838,+71:40:19.867,"['1mm', '850µm']","['30 Mar 2019', '18 Feb 2016']","['SMA', 'SMA']","['0.20 ±  0.01', '0.38 ±  0.09']"
--,1504+104,15:04:24.9797,+10:29:39.198,"['1mm', '850µm']","['26 Sep 2023', '23 Nov 2021']","['SMA', 'SMA']","['1.13 ±  0.04', '0.23 ±  0.05']"
--,1505+034,15:05:06.4771,+03:26:30.812,"['1mm', '850µm']","['23 Sep 2023', '23 Sep 2008']","['SMA', 'SMA']","['0.31 ±  0.02', '0.28 ±  0.11']"
--,1506+426,15:06:53.0418,+42:39:23.035,"['1mm', '850µm']","['23 Sep 2023', '06 Nov 2017']","['SMA', 'SMA']","['0.78 ±  0.04', '0.28 ±  0.02']"
--,1507-168,15:07:04.7869,-16:52:30.267,"['1mm', '850µm']","['04 Aug 2023', '04 Aug 2013']","['SMA', 'SMA']","['1.06 ±  0.05', '0.68 ±  0.16']"
--,1510-057,15:10:53.5914,-05:43:07.417,"['1mm', '850µm']","['10 Jan 2023', '05 Feb 2016']","['SMA', 'SMA']","['0.27 ±  0.02', '0.31 ±  0.08']"
--,1512-090,15:12:50.5329,-09:05:59.829,"['1mm', '850µm']","['04 Aug 2023', '27 Mar 2021']","['SMA', 'SMA']","['1.61 ±  0.08', '1.35 ±  0.07']"
--,1513-102,15:13:44.8934,-10:12:00.264,"['1mm', '850µm']","['30 May 2019', '10 Jan 2012']","['SMA', 'SMA']","['0.42 ±  0.02', '0.51 ±  0.05']"
--,1513-212,15:13:56.9701,-21:14:57.506,['1mm'],['23 Sep 2023'],['SMA'],['0.08 ±  0.01']
--,1516+002,15:16:40.2190,+00:15:01.908,"['1mm', '850µm']","['23 Sep 2023', '04 Jun 2010']","['SMA', 'SMA']","['0.41 ±  0.02', '0.50 ±  0.08']"
--,1517-243,15:17:41.8131,-24:22:19.475,"['1mm', '850µm']","['25 Jun 2023', '27 Mar 2021']","['SMA', 'SMA']","['1.65 ±  0.08', '1.10 ±  0.06']"
--,1522+317,15:22:09.9937,+31:44:14.418,['1mm'],['30 Jun 2009'],['SMA'],['0.15 ±  0.02']
--,1522-275,15:22:37.6759,-27:30:10.785,"['1mm', '850µm']","['18 Mar 2018', '15 Jun 2018']","['SMA', 'SMA']","['0.14 ±  0.02', '0.39 ±  0.04']"
--,1538+003,15:38:15.9530,+00:19:05.324,"['1mm', '850µm']","['06 Sep 2022', '19 Mar 2012']","['SMA', 'SMA']","['0.04 ±  0.01', '0.25 ±  0.07']"
--,1540+147,15:40:49.4915,+14:47:45.884,"['1mm', '850µm']","['10 Jan 2023', '27 Mar 2021']","['SMA', 'SMA']","['0.80 ±  0.04', '0.41 ±  0.03']"
--,1549+506,15:49:17.4685,+50:38:05.788,"['1mm', '850µm']","['26 Sep 2023', '27 Mar 2021']","['SMA', 'SMA']","['0.19 ±  0.01', '0.11 ±  0.02']"
--,1549+026,15:49:29.4368,+02:37:01.163,"['1mm', '850µm']","['20 Sep 2023', '27 Mar 2021']","['SMA', 'SMA']","['1.31 ±  0.07', '0.93 ±  0.05']"
--,1550+054,15:50:35.2692,+05:27:10.448,"['1mm', '850µm']","['20 Sep 2023', '27 Mar 2021']","['SMA', 'SMA']","['0.77 ±  0.04', '0.56 ±  0.03']"
--,1553+129,15:53:32.6978,+12:56:51.716,"['1mm', '850µm']","['30 Apr 2023', '27 Mar 2021']","['SMA', 'SMA']","['0.22 ±  0.02', '0.06 ±  0.02']"
--,1555+111,15:55:43.0443,+11:11:24.377,['1mm'],['20 Jun 2023'],['SMA'],['0.30 ±  0.02']
--,1557-000,15:57:51.4339,-00:01:50.413,"['1mm', '850µm']","['30 May 2019', '20 May 2010']","['SMA', 'SMA']","['0.15 ±  0.01', '0.17 ±  0.03']"
--,1604-446,16:04:31.0247,-44:41:31.909,['1mm'],['19 Mar 2022'],['SMA'],['0.68 ±  0.03']
--,1606+272,16:06:58.3033,+27:17:05.603,['1mm'],['30 Jun 2009'],['SMA'],['0.16 ±  0.02']
--,1608+104,16:08:46.2031,+10:29:07.775,"['1mm', '850µm']","['23 Sep 2023', '05 Oct 2010']","['SMA', 'SMA']","['0.66 ±  0.03', '0.20 ±  0.04']"
--,1610+242,16:10:42.0303,+24:14:49.051,['1mm'],['30 Jun 2009'],['SMA'],['0.10 ±  0.02']
--,1613+342,16:13:41.0642,+34:12:47.909,"['1mm', '850µm']","['26 Sep 2023', '01 Jul 2011']","['SMA', 'SMA']","['0.32 ±  0.01', '0.53 ±  0.06']"
